affinity,base_blue_px,base_blue_units,base_element_sharpness_multiplier,base_green_px,base_green_units,base_max_sharpness,base_orange_px,base_orange_units,base_purple_px,base_purple_units,base_raw_sharpness_multiplier,base_red_px,base_red_units,base_total_units,base_white_px,base_white_units,base_yellow_px,base_yellow_units,can_extend_by_handicraft,defense_bonus,display_attack,elderseal,element_type,element_value,exclude_reason,handicraft5_blue_px,handicraft5_blue_units,handicraft5_element_sharpness_multiplier,handicraft5_green_px,handicraft5_green_units,handicraft5_max_sharpness,handicraft5_orange_px,handicraft5_orange_units,handicraft5_purple_px,handicraft5_purple_units,handicraft5_raw_sharpness_multiplier,handicraft5_red_px,handicraft5_red_units,handicraft5_total_units,handicraft5_white_px,handicraft5_white_units,handicraft5_yellow_px,handicraft5_yellow_units,handicraft_gain_units,handicraft_value_type,include_in_model,is_hidden_element,rarity,slot_1,slot_2,slot_3,source_category,true_raw,weapon_name,weapon_type,weapon_url,source_category_detailed,model_role,efr_train_inclusion,validation_inclusion,classification_note,include_in_efr_train,include_in_validation,affinity_multiplier_no_critboost,affinity_multiplier_critboost3,base_efr_no_critboost,base_efr_critboost3,handicraft5_efr_no_critboost,handicraft5_efr_critboost3,efr_gain_from_handicraft_no_critboost,efr_gain_from_handicraft_critboost3,efr_gain_from_handicraft_percent_no_critboost,efr_gain_from_handicraft_percent_critboost3,rarity_median_base_efr_critboost3,rarity_median_handicraft5_efr_critboost3,base_efr_residual_percent,handicraft5_efr_residual_percent,base_efr_outlier_label,handicraft5_efr_outlier_label
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,15.0,60.0,7.5,30.0,True,0,1248,,毒,540.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,30.0,120.0,400.0,20.0,80.0,7.5,30.0,50.0,unlocks_purple,True,True,11,1.0,1.0,,material_or_elder,260,铬钢死神镰刀3,大剑,https://mhworld.kiranico.com/zh/weapons/lkHWibw/ge-gang-si-shen-lian-dao-3,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,343.2,343.2,361.4,361.4,18.19999999999999,18.19999999999999,0.05303030303030298,0.05303030303030298,343.2,361.4,0.0,0.0,on_curve,on_curve
0,17.5,70.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,22.5,90.0,350.0,0.0,0.0,10.0,40.0,True,35,1344,,冰,480.0,,17.5,70.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,22.5,90.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,True,11,3.0,,,material_or_elder,280,大鬼龙颚3,大剑,https://mhworld.kiranico.com/zh/weapons/R5HQFyG/da-gui-long-e-3,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,336.0,336.0,369.6,369.6,33.60000000000002,33.60000000000002,0.10000000000000009,0.10000000000000009,343.2,361.4,-0.020979020979020935,0.022689540675152386,on_curve,on_curve
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,27.5,110.0,350.0,5.0,20.0,7.5,30.0,True,0,1248,,水,600.0,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,27.5,110.0,400.0,17.5,70.0,7.5,30.0,50.0,extends_white,True,True,10,3.0,3.0,,material_or_elder,260,贼龙兵器2,大剑,https://mhworld.kiranico.com/zh/weapons/AzHzuaJ/zei-long-bing-qi-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,343.2,343.2,343.2,343.2,0.0,0.0,0.0,0.0,316.8,333.59999999999997,0.08333333333333326,0.02877697841726623,above_curve,on_curve
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,15.0,60.0,7.5,30.0,True,0,1152,,毒,660.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,30.0,120.0,400.0,15.0,60.0,7.5,30.0,50.0,unlocks_purple,True,False,10,2.0,1.0,,material_or_elder,240,曼陀罗茁壮2,大剑,https://mhworld.kiranico.com/zh/weapons/g3HecvZ/man-tuo-luo-zhuo-zhuang-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,1.0,1.0,316.8,316.8,333.59999999999997,333.59999999999997,16.799999999999955,16.799999999999955,0.05303030303030298,0.05303030303030298,316.8,333.59999999999997,0.0,0.0,on_curve,on_curve
-20,15.0,60.0,1.0625,25.0,100.0,blue,15.0,60.0,0.0,0.0,1.2,17.5,70.0,350.0,0.0,0.0,15.0,60.0,True,25,1296,,麻痹,600.0,,20.0,80.0,1.125,25.0,100.0,white,15.0,60.0,0.0,0.0,1.32,17.5,70.0,400.0,7.5,30.0,15.0,60.0,50.0,unlocks_white,True,True,10,2.0,2.0,,material_or_elder,270,土砂龙巨汉2,大剑,https://mhworld.kiranico.com/zh/weapons/AzHWUl6/tu-sha-long-ju-yi-2,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,0.95,0.95,307.8,307.8,338.58000000000004,338.58000000000004,30.78000000000003,30.78000000000003,0.10000000000000009,0.10000000000000009,316.8,333.59999999999997,-0.02840909090909094,0.014928057553956986,on_curve,on_curve
-30,20.0,80.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,20.0,80.0,350.0,0.0,0.0,10.0,40.0,True,0,1296,,火,720.0,,20.0,80.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,20.0,80.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,False,10,,,,material_or_elder,270,兵器蛮炎大剑,大剑,https://mhworld.kiranico.com/zh/weapons/DAHzs9v/bing-qi-man-yan-da-jian,material_standard,train_core,True,False,普通素材树 Final Upgrade；纳入常规预算训练集。,True,False,0.925,0.925,299.7,299.7,329.6700000000001,329.6700000000001,29.970000000000084,29.970000000000084,0.10000000000000031,0.10000000000000031,316.8,333.59999999999997,-0.05397727272727282,-0.011780575539568017,below_curve,on_curve
0,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,20.0,80.0,400.0,27.5,110.0,7.5,30.0,False,0,1344,大,龙,240.0,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,20.0,80.0,400.0,27.5,110.0,7.5,30.0,0.0,no_effect,True,False,12,1.0,,,material_or_elder,280,灭鬼凶器【断】,大剑,https://mhworld.kiranico.com/zh/weapons/KbH3hOb/mie-gui-xiong-qi-duan,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0,1.0,369.6,369.6,369.6,369.6,0.0,0.0,0.0,0.0,358.05,375.29999999999995,0.032258064516129004,-0.01518784972022369,on_curve,on_curve
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,17.5,70.0,350.0,15.0,60.0,7.5,30.0,True,0,1200,中,龙,570.0,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,17.5,70.0,400.0,27.5,110.0,7.5,30.0,50.0,extends_white,True,False,12,2.0,2.0,,material_or_elder,250,怨憎怪物,大剑,https://mhworld.kiranico.com/zh/weapons/q8HDcwR/yuan-zeng-guai-wu,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0,1.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,358.05,375.29999999999995,-0.07834101382488479,-0.12070343725019972,below_curve,far_below_curve
25,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,32.5,130.0,350.0,12.5,50.0,7.5,30.0,True,0,1296,,火,390.0,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,32.5,130.0,400.0,17.5,70.0,7.5,30.0,50.0,unlocks_purple,True,False,12,2.0,,,material_or_elder,270,辉剑火龙,大剑,https://mhworld.kiranico.com/zh/weapons/NOHvSKx/hui-jian-huo-long,rare_subspecies,train_core,True,False,金火龙 / 银火龙等稀有亚种素材武器；纳入常规素材预算训练集。,True,False,1.0625,1.1,378.675,392.0400000000001,398.75624999999997,412.83,20.081249999999955,20.789999999999907,0.05303030303030298,0.05303030303030276,358.05,375.29999999999995,0.09493087557603697,0.10000000000000009,above_curve,possible_overtuned
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,15.0,60.0,350.0,17.5,70.0,7.5,30.0,True,0,1152,,雷,720.0,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,15.0,60.0,400.0,30.0,120.0,7.5,30.0,50.0,extends_white,True,False,11,,,,material_or_elder,240,召雷剑【麒麟帝】,大剑,https://mhworld.kiranico.com/zh/weapons/6RHkTvw/zhao-lei-jian-qi-lin-di,elder_dragon,train_core,True,False,古龙素材武器；纳入常规预算训练集。,True,False,1.0,1.0,316.8,316.8,316.8,316.8,0.0,0.0,0.0,0.0,343.2,361.4,-0.07692307692307687,-0.12340896513558375,below_curve,far_below_curve
