affinity,base_blue_px,base_blue_units,base_element_sharpness_multiplier,base_green_px,base_green_units,base_max_sharpness,base_orange_px,base_orange_units,base_purple_px,base_purple_units,base_raw_sharpness_multiplier,base_red_px,base_red_units,base_total_units,base_white_px,base_white_units,base_yellow_px,base_yellow_units,can_extend_by_handicraft,defense_bonus,display_attack,elderseal,element_type,element_value,exclude_reason,handicraft5_blue_px,handicraft5_blue_units,handicraft5_element_sharpness_multiplier,handicraft5_green_px,handicraft5_green_units,handicraft5_max_sharpness,handicraft5_orange_px,handicraft5_orange_units,handicraft5_purple_px,handicraft5_purple_units,handicraft5_raw_sharpness_multiplier,handicraft5_red_px,handicraft5_red_units,handicraft5_total_units,handicraft5_white_px,handicraft5_white_units,handicraft5_yellow_px,handicraft5_yellow_units,handicraft_gain_units,handicraft_value_type,include_in_model,is_hidden_element,rarity,slot_1,slot_2,slot_3,source_category,true_raw,weapon_name,weapon_type,weapon_url
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,15.0,60.0,7.5,30.0,True,0,1248,,毒,540,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,30.0,120.0,400.0,20.0,80.0,7.5,30.0,50.0,unlocks_purple,True,True,11,1,1,,material_or_elder,260,铬钢死神镰刀3,大剑,https://mhworld.kiranico.com/zh/weapons/lkHWibw/ge-gang-si-shen-lian-dao-3
0,17.5,70.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,22.5,90.0,350.0,0.0,0.0,10.0,40.0,True,35,1344,,冰,480,,17.5,70.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,22.5,90.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,True,11,3,,,material_or_elder,280,大鬼龙颚3,大剑,https://mhworld.kiranico.com/zh/weapons/R5HQFyG/da-gui-long-e-3
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,27.5,110.0,350.0,5.0,20.0,7.5,30.0,True,0,1248,,水,600,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,27.5,110.0,400.0,17.5,70.0,7.5,30.0,50.0,extends_white,True,True,10,3,3,,material_or_elder,260,贼龙兵器2,大剑,https://mhworld.kiranico.com/zh/weapons/AzHzuaJ/zei-long-bing-qi-2
0,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,30.0,120.0,350.0,15.0,60.0,7.5,30.0,True,0,1152,,毒,660,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,12.5,50.0,1.39,30.0,120.0,400.0,15.0,60.0,7.5,30.0,50.0,unlocks_purple,True,False,10,2,1,,material_or_elder,240,曼陀罗茁壮2,大剑,https://mhworld.kiranico.com/zh/weapons/g3HecvZ/man-tuo-luo-zhuo-zhuang-2
-20,15.0,60.0,1.0625,25.0,100.0,blue,15.0,60.0,0.0,0.0,1.2,17.5,70.0,350.0,0.0,0.0,15.0,60.0,True,25,1296,,麻痹,600,,20.0,80.0,1.125,25.0,100.0,white,15.0,60.0,0.0,0.0,1.32,17.5,70.0,400.0,7.5,30.0,15.0,60.0,50.0,unlocks_white,True,True,10,2,2,,material_or_elder,270,土砂龙巨汉2,大剑,https://mhworld.kiranico.com/zh/weapons/AzHWUl6/tu-sha-long-ju-yi-2
-30,20.0,80.0,1.0625,12.5,50.0,blue,25.0,100.0,0.0,0.0,1.2,20.0,80.0,350.0,0.0,0.0,10.0,40.0,True,0,1296,,火,720,,20.0,80.0,1.125,12.5,50.0,white,25.0,100.0,0.0,0.0,1.32,20.0,80.0,400.0,12.5,50.0,10.0,40.0,50.0,unlocks_white,True,False,10,,,,material_or_elder,270,兵器蛮炎大剑,大剑,https://mhworld.kiranico.com/zh/weapons/DAHzs9v/bing-qi-man-yan-da-jian
0,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,20.0,80.0,400.0,27.5,110.0,7.5,30.0,False,0,1344,大,龙,240,,10.0,40.0,1.125,27.5,110.0,white,7.5,30.0,0.0,0.0,1.32,20.0,80.0,400.0,27.5,110.0,7.5,30.0,0.0,no_effect,True,False,12,1,,,material_or_elder,280,灭鬼凶器【断】,大剑,https://mhworld.kiranico.com/zh/weapons/KbH3hOb/mie-gui-xiong-qi-duan
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,17.5,70.0,350.0,15.0,60.0,7.5,30.0,True,0,1200,中,龙,570,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,17.5,70.0,400.0,27.5,110.0,7.5,30.0,50.0,extends_white,True,False,12,2,2,,material_or_elder,250,怨憎怪物,大剑,https://mhworld.kiranico.com/zh/weapons/q8HDcwR/yuan-zeng-guai-wu
25,12.5,50.0,1.125,15.0,60.0,white,7.5,30.0,0.0,0.0,1.32,32.5,130.0,350.0,12.5,50.0,7.5,30.0,True,0,1296,,火,390,,12.5,50.0,1.25,15.0,60.0,purple,7.5,30.0,7.5,30.0,1.39,32.5,130.0,400.0,17.5,70.0,7.5,30.0,50.0,unlocks_purple,True,False,12,2,,,material_or_elder,270,辉剑火龙,大剑,https://mhworld.kiranico.com/zh/weapons/NOHvSKx/hui-jian-huo-long
0,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,15.0,60.0,350.0,17.5,70.0,7.5,30.0,True,0,1152,,雷,720,,20.0,80.0,1.125,7.5,30.0,white,20.0,80.0,0.0,0.0,1.32,15.0,60.0,400.0,30.0,120.0,7.5,30.0,50.0,extends_white,True,False,11,,,,material_or_elder,240,召雷剑【麒麟帝】,大剑,https://mhworld.kiranico.com/zh/weapons/6RHkTvw/zhao-lei-jian-qi-lin-di
