feature,coefficient,abs_coefficient
true_raw,23.28230681047753,23.28230681047753
affinity,16.90411979949219,16.90411979949219
handicraft5_raw_sharpness_multiplier,10.262346745685885,10.262346745685885
elderseal_小,4.021886473180124,4.021886473180124
source_category_detailed_rare_subspecies,3.389033167058481,3.389033167058481
elderseal_中,-3.32214707331311,3.32214707331311
element_type_麻痹,3.201923200781754,3.201923200781754
handicraft5_max_sharpness_blue,-2.863852051479634,2.863852051479634
handicraft_value_type_extends_same_tier,-2.863852051479634,2.863852051479634
source_category_detailed_event_special,-2.516767851138562,2.516767851138562
element_type_龙,-2.498199220836794,2.498199220836794
source_category_detailed_material_standard,-2.1352962003960014,2.1352962003960014
handicraft5_max_sharpness_purple,2.054194920317585,2.054194920317585
element_type_雷,-1.8738979719861166,1.8738979719861166
source_category_detailed_guild_palace,1.696943441967075,1.696943441967075
handicraft_value_type_unlocks_white,1.2039146254885191,1.2039146254885191
base_max_sharpness_white,-1.1736209987801427,1.1736209987801427
source_category_detailed_elder_dragon,-1.1670730028863618,1.1670730028863618
sharpness_comfort_gain,1.1546311433213523,1.1546311433213523
slot_count,-1.1158606438935177,1.1158606438935177
base_max_sharpness_purple,1.034568717509032,1.034568717509032
base_high_sharpness_units,-1.0285065642550464,1.0285065642550464
handicraft_value_type_unlocks_purple,1.0196262028085492,1.0196262028085492
element_type_爆破,1.0194295855526445,1.0194295855526445
base_raw_sharpness_multiplier,0.8982513739347651,0.8982513739347651
model_role_validation_marked,-0.8198244091714878,0.8198244091714878
handicraft5_max_sharpness_white,0.8096571311620477,0.8096571311620477
rarity,0.7336241756899571,0.7336241756899571
source_category_detailed_variant_endgame,0.7331604453953711,0.7331604453953711
model_role_validation_special,0.7331604453953711,0.7331604453953711
handicraft_value_type_extends_purple,0.7104309027595983,0.7104309027595983
elderseal_大,-0.6997393998670133,0.6997393998670133
element_type_毒,-0.6236539233170665,0.6236539233170665
slot_score,-0.6194838915162846,0.6194838915162846
element_type_睡眠,0.5448904609693493,0.5448904609693493
element_type_火,0.41748727459682555,0.41748727459682555
defense_bonus_filled,-0.39468836793441864,0.39468836793441864
element_value_filled,0.29953278998527466,0.29953278998527466
element_type_冰,-0.2685114377801505,0.2685114377801505
handicraft5_high_sharpness_units,-0.2546943593614195,0.2546943593614195
handicraft_gain_units,-0.2130141302163404,0.2130141302163404
is_hidden_element_False,0.16645438856011952,0.16645438856011952
is_hidden_element_True,-0.16645438856011752,0.16645438856011752
base_max_sharpness_blue,0.1390522812711117,0.1390522812711117
handicraft_value_type_extends_white,-0.11449028756847057,0.11449028756847057
model_role_train_core,0.08666396377611618,0.08666396377611618
element_type_水,0.08053203201955228,0.08053203201955228
can_extend_by_handicraft_True,-0.044370607991434385,0.044370607991434385
can_extend_by_handicraft_False,0.04437060799143433,0.04437060799143433
handicraft_value_type_no_effect,0.04437060799143416,0.04437060799143416
