weapon_name,rarity,source_category_detailed,true_raw,affinity,base_max_sharpness,handicraft5_max_sharpness,base_efr_critboost3,handicraft5_efr_critboost3,efr_gain_from_handicraft_percent_critboost3,base_efr_residual_percent,handicraft5_efr_residual_percent,base_efr_outlier_label,handicraft5_efr_outlier_label,model_role
岩浆卫士熔山剑,11,elder_dragon,280,-20,blue,purple,319.2,369.74,0.1583333333333332,-0.0699300699300699,0.0230769230769229,below_curve,on_curve,train_core
罪罚粉碎者2,11,material_standard,290,0,blue,purple,348.0,403.1,0.1583333333333332,0.0139860139860139,0.1153846153846154,on_curve,possible_overtuned,train_core
兵器蛮炎大剑,10,material_standard,270,-30,blue,white,299.7,329.6700000000001,0.1000000000000003,-0.0539772727272728,-0.011780575539568,below_curve,on_curve,train_core
土砂龙巨汉2,10,material_standard,270,-20,blue,white,307.8,338.58000000000004,0.1,-0.0284090909090909,0.0149280575539569,on_curve,on_curve,train_core
火碎剑2,10,material_standard,250,0,blue,white,300.0,330.0,0.1,-0.053030303030303,-0.0107913669064747,below_curve,on_curve,train_core
大鬼龙颚3,11,material_standard,280,0,blue,white,336.0,369.6,0.1,-0.0209790209790209,0.0226895406751523,on_curve,on_curve,train_core
封龙大剑2,11,elder_dragon,240,0,blue,white,288.0,316.8,0.1,-0.1608391608391608,-0.1234089651355837,far_below_curve,far_below_curve,train_core
大鬼金棒,12,material_standard,310,-15,blue,white,358.05,393.8550000000001,0.1,0.0,0.0494404476418868,on_curve,on_curve,train_core
皇金大剑·尸套,8,siege_kulve,205,20,blue,white,265.68,292.24800000000005,0.1,,,no_baseline,no_baseline,validation_special
皇金大剑·痹贼,8,siege_kulve,175,20,blue,white,226.8,249.48,0.1,,,no_baseline,no_baseline,validation_special
金色的大剑·冰,6,siege_kulve,160,10,blue,white,199.68,219.648,0.1,,,no_baseline,no_baseline,validation_special
铠罗炎·水,8,siege_kulve,190,0,blue,white,228.0,250.8,0.1,,,no_baseline,no_baseline,validation_special
铠罗炎·痹贼,7,siege_kulve,160,30,blue,white,215.04,236.54400000000004,0.1,,,no_baseline,no_baseline,validation_special
金色的大剑·水,6,siege_kulve,160,0,blue,white,192.0,211.2,0.1,,,no_baseline,no_baseline,validation_special
金色的大剑·熔岩,6,siege_kulve,160,0,blue,white,192.0,211.2,0.1,,,no_baseline,no_baseline,validation_special
皇金大剑·王,8,siege_kulve,195,20,blue,white,252.72000000000003,277.9920000000001,0.1,,,no_baseline,no_baseline,validation_special
皇金大剑·水,8,siege_kulve,190,20,blue,white,246.24,270.86400000000003,0.1,,,no_baseline,no_baseline,validation_special
兵器蛮雷大剑,11,material_standard,260,25,blue,white,343.20000000000005,377.52,0.0999999999999998,2.220446049250313e-16,0.0446043165467626,on_curve,on_curve,train_core
铠罗炎·尸套,7,siege_kulve,200,10,blue,white,249.6,274.56,0.0999999999999998,,,no_baseline,no_baseline,validation_special
大龙颚,11,material_standard,260,0,white,purple,343.2,361.4,0.0530303030303029,0.0,0.0,on_curve,on_curve,train_core
舄湖巨像2,10,material_standard,240,0,white,purple,316.8,333.6,0.0530303030303029,0.0,0.0,on_curve,on_curve,train_core
魂焰刚剑·炎妃,12,elder_dragon,250,25,white,purple,363.00000000000006,382.25000000000006,0.0530303030303029,0.0138248847926267,0.0185185185185188,on_curve,on_curve,train_core
无相法身－不动－,12,elder_dragon,280,0,white,purple,369.6,389.2,0.0530303030303029,0.032258064516129,0.0370370370370372,on_curve,on_curve,train_core
魂焰刚剑·冥灯,12,elder_dragon,250,15,white,purple,349.8,368.35,0.0530303030303029,-0.0230414746543778,-0.0185185185185183,on_curve,on_curve,train_core
吼大剑【荒咬】,12,material_standard,290,-30,white,purple,354.09000000000003,372.8675,0.0530303030303029,-0.0110599078341013,-0.0064814814814813,on_curve,on_curve,train_core
斩龙之炎2,10,material_standard,250,0,white,purple,330.0,347.5,0.0530303030303029,0.0416666666666665,0.0416666666666667,on_curve,on_curve,train_core
钢龙寒冰大剑,11,elder_dragon,260,15,white,purple,363.792,383.084,0.0530303030303029,0.06,0.06,above_curve,above_curve,train_core
曼陀罗茁壮2,10,material_standard,240,0,white,purple,316.8,333.6,0.0530303030303029,0.0,0.0,on_curve,on_curve,train_core
迅雷断裂斧2,11,material_standard,250,0,white,purple,330.0,347.5,0.0530303030303029,-0.0384615384615384,-0.0384615384615384,on_curve,on_curve,train_core
铬钢死神镰刀3,11,material_standard,260,0,white,purple,343.2,361.4,0.0530303030303029,0.0,0.0,on_curve,on_curve,train_core
