weapon_name,rarity,source_category_detailed,true_raw,affinity,base_max_sharpness,handicraft5_max_sharpness,base_efr_critboost3,handicraft5_efr_critboost3,efr_gain_from_handicraft_percent_critboost3,base_efr_residual_percent,handicraft5_efr_residual_percent,base_efr_outlier_label,handicraft5_efr_outlier_label
隐密之炎2,10,material_standard,240,25,purple,purple,366.96,366.96,0.0,0.1583333333333332,0.1,possible_overtuned,possible_overtuned
贼龙兵器2,10,material_standard,260,0,white,white,343.2,343.2,0.0,0.0833333333333332,0.0287769784172662,above_curve,on_curve
巨牛大斧2,10,material_standard,280,0,blue,blue,336.0,336.0,0.0,0.0606060606060605,0.0071942446043167,above_curve,on_curve
斩龙之炎2,10,material_standard,250,0,white,purple,330.0,347.5,0.0530303030303029,0.0416666666666665,0.0416666666666667,on_curve,on_curve
冰鱼龙斩剑2,10,material_standard,250,0,white,white,330.0,330.0,0.0,0.0416666666666665,-0.0107913669064747,on_curve,on_curve
曼陀罗茁壮2,10,material_standard,240,0,white,purple,316.8,333.6,0.0530303030303029,0.0,0.0,on_curve,on_curve
舄湖巨像2,10,material_standard,240,0,white,purple,316.8,333.6,0.0530303030303029,0.0,0.0,on_curve,on_curve
夜神剃刀2,10,material_standard,240,0,white,white,316.8,316.8,0.0,0.0,-0.0503597122302157,on_curve,below_curve
土砂龙巨汉2,10,material_standard,270,-20,blue,white,307.8,338.58000000000004,0.1,-0.0284090909090909,0.0149280575539569,on_curve,on_curve
火碎剑2,10,material_standard,250,0,blue,white,300.0,330.0,0.1,-0.053030303030303,-0.0107913669064747,below_curve,on_curve
狂击巨凶,11,material_standard,270,15,purple,purple,397.818,397.818,0.0,0.1591433566433566,0.1007692307692307,possible_overtuned,possible_overtuned
断海冰牙,11,material_standard,250,35,white,white,376.2,376.2,0.0,0.0961538461538462,0.0409518539014941,above_curve,on_curve
钢龙寒冰大剑,11,elder_dragon,260,15,white,purple,363.792,383.084,0.0530303030303029,0.06,0.06,above_curve,above_curve
轰大剑【王虎】,11,material_standard,280,-20,white,white,351.12,351.12,0.0,0.0230769230769232,-0.0284449363586053,on_curve,on_curve
龙颚剑【绝牙】,11,material_standard,290,0,blue,blue,348.0,348.0,0.0,0.0139860139860139,-0.0370780298837851,on_curve,on_curve
罪罚粉碎者2,11,material_standard,290,0,blue,purple,348.0,403.1,0.1583333333333332,0.0139860139860139,0.1153846153846154,on_curve,possible_overtuned
兵器蛮雷大剑,11,material_standard,260,25,blue,white,343.20000000000005,377.52,0.0999999999999998,2.220446049250313e-16,0.0446043165467626,on_curve,on_curve
铬钢死神镰刀3,11,material_standard,260,0,white,purple,343.2,361.4,0.0530303030303029,0.0,0.0,on_curve,on_curve
大龙颚,11,material_standard,260,0,white,purple,343.2,361.4,0.0530303030303029,0.0,0.0,on_curve,on_curve
大鬼龙颚3,11,material_standard,280,0,blue,white,336.0,369.6,0.1,-0.0209790209790209,0.0226895406751523,on_curve,on_curve
冥灯龙大剑改,12,elder_dragon,280,20,white,white,399.16800000000006,399.16800000000006,0.0,0.1148387096774194,0.0635971223021585,possible_overtuned,above_curve
辉剑火龙,12,rare_subspecies,270,25,white,purple,392.0400000000001,412.83,0.0530303030303027,0.0949308755760369,0.1,above_curve,possible_overtuned
狱界断罪斧改,12,material_standard,270,0,purple,purple,375.3,375.3,0.0,0.0481776288227899,0.0,on_curve,on_curve
灭鬼凶器【断】,12,elder_dragon,280,0,white,white,369.6,369.6,0.0,0.032258064516129,-0.0151878497202236,on_curve,on_curve
无相法身－不动－,12,elder_dragon,280,0,white,purple,369.6,389.2,0.0530303030303029,0.032258064516129,0.0370370370370372,on_curve,on_curve
魂焰刚剑·炎妃,12,elder_dragon,250,25,white,purple,363.00000000000006,382.25000000000006,0.0530303030303029,0.0138248847926267,0.0185185185185188,on_curve,on_curve
大鬼金棒,12,material_standard,310,-15,blue,white,358.05,393.8550000000001,0.1,0.0,0.0494404476418868,on_curve,on_curve
魂焰刚剑·灭尽,12,elder_dragon,270,0,white,purple,356.40000000000003,375.3,0.0530303030303027,-0.0046082949308755,0.0,on_curve,on_curve
冰翼灵羽,12,elder_dragon,270,0,white,purple,356.40000000000003,375.3,0.0530303030303027,-0.0046082949308755,0.0,on_curve,on_curve
吼大剑【荒咬】,12,material_standard,290,-30,white,purple,354.09000000000003,372.8675,0.0530303030303029,-0.0110599078341013,-0.0064814814814813,on_curve,on_curve
